ID,Label,Definition,Type,Parent Class,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label)
http://id.who.int/icd/entity/242704590,"Functions of expelling the contents of the stomach, oesophagus or pharynx","Functions of moving substances such as food, liquid, medications, objects intentionally or unintentionally swallowed in the reverse direction to ingestion, such as in regurgitation and vomiting.",owl:Class,http://id.who.int/icd/entity/363211474,http://id.who.int/icd/entity/242704590,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/246722870,Structures around eye,,owl:Class,http://id.who.int/icd/entity/1843740951,http://id.who.int/icd/entity/246722870,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/248265067,Mobility of joint functions,Functions of the range and ease of movement of a joint.,owl:Class,http://id.who.int/icd/entity/1134562249,http://id.who.int/icd/entity/248265067,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/249425252,Structure of lower leg,,owl:Class,http://id.who.int/icd/entity/1929433903,http://id.who.int/icd/entity/249425252,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/260756767,Tone of all muscles of the body,Functions related to the tension present in the resting muscles and muscle groups of the whole body and the resistance offered when trying to move those muscles passively.,owl:Class,http://id.who.int/icd/entity/1839310222,http://id.who.int/icd/entity/260756767,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/274570113,Muscle power functions,Functions related to the force generated by the contraction of a muscle or muscle groups.,owl:Class,http://id.who.int/icd/entity/1164313611,http://id.who.int/icd/entity/274570113,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/278512890,Muscles of shoulder region,,owl:Class,http://id.who.int/icd/entity/1108927576,http://id.who.int/icd/entity/278512890,http://purl.obolibrary.org/obo/HP_0003547|http://purl.obolibrary.org/obo/HP_0003691|http://purl.obolibrary.org/obo/HP_0003694|http://purl.obolibrary.org/obo/HP_0008997|http://purl.obolibrary.org/obo/HP_0008997|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009073|http://purl.obolibrary.org/obo/HP_0030200|http://purl.obolibrary.org/obo/HP_0030200,Shoulder girdle muscle weakness|Scapular winging|Late-onset proximal muscle weakness|Proximal muscle weakness in upper limbs|Proximal upper limb muscle weakness|Generalized weakness of limb muscles|Progressive proximal muscle weakness|Fatiguable weakness of proximal limb muscles|Fatiguable weakness of proximal limb muscles ,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","",""
http://id.who.int/icd/entity/294830867,Muscles of forearm,,owl:Class,http://id.who.int/icd/entity/822292691,http://id.who.int/icd/entity/294830867,http://purl.obolibrary.org/obo/HP_0003810|http://purl.obolibrary.org/obo/HP_0008959|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009063|http://purl.obolibrary.org/obo/HP_0030198,Late-onset distal muscle weakness|Distal upper limb muscle weakness|Generalized weakness of limb muscles|Progressive distal muscle weakness|Fatigable weakness of distal limb muscles,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","",""
http://id.who.int/icd/entity/299098423,Pain in head and neck,Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the head and neck.,owl:Class,http://id.who.int/icd/entity/577558794,http://id.who.int/icd/entity/299098423,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/326705068,"Functions of the cardiovascular, haematological, immunological and respiratory systems","This chapter is about the functions involved in the cardiovascular system (functions of the heart and blood vessels), the haematological and immunological systems (functions of blood production and immunity), and the respiratory system (functions of respiration and exercise tolerance).",owl:Class,http://id.who.int/icd/entity/567313968,http://id.who.int/icd/entity/326705068,"","","","","","","","","","","","","",""
